total_power,delta_power,delta_rel_power,theta_power,theta_rel_power,alpha_power,alpha_rel_power,sigma_power,sigma_rel_power,beta_power,beta_rel_power,theta_alpha_ratio,spectral_entropy,hjorth_activity,hjorth_mobility,hjorth_complexity,epoch_mean,epoch_std,epoch_skewness,epoch_kurtosis,subject_id,stage,stage_int,epoch_idx,recording
1.0576895717649698e-09,6.431620808407921e-10,0.6075077133031161,9.640291220757345e-11,0.0910587152066281,9.23304630225178e-12,0.00872120265325663,2.0729945528080845e-12,0.001958075915825013,9.91223431964707e-12,0.00936273916736718,9.420744259347288,3.0797176064514256,1.3222398098367234e-09,0.2481633185909355,6.156786279001303,4.087560439560439e-07,3.636261555274487e-05,0.26992606732984337,2.3377490679529407,SC4001,W,0,0,0
7.44775861130998e-11,3.568650575639551e-11,0.47280931458142916,1.5597565857585497e-11,0.20665162548008942,8.351297003958713e-12,0.11064605314012914,1.1963704826049903e-12,0.015850672288489492,3.3729981565378207e-12,0.04468873913751738,1.6679574877134724,4.621771037042301,7.879122152903319e-11,0.4332353509511849,2.7696234966069175,2.3024371184371172e-07,8.876441940836046e-06,0.21086480045498895,1.2699976091422513,SC4001,N1,1,1,0
2.5380460456410056e-10,1.677616528972634e-10,0.6583933331356264,3.724635548056961e-11,0.14617614757899572,3.808226237402502e-12,0.014945672759396606,1.0444478988169254e-12,0.004099015010359345,3.187061242545231e-12,0.012507863615719981,7.746381647110438,3.700493640317433,2.7635182156504477e-10,0.24754361359532873,4.107617211398789,2.600322344322343e-07,1.6623832938436455e-05,-0.022892753084498937,2.1577975240309124,SC4001,N2,2,2,0
5.550064080781511e-10,4.024208483682269e-10,0.72377016257637,5.887564631858537e-11,0.10589022979445578,1.1574664134073409e-11,0.020817501319960505,8.039666742991953e-12,0.014459665619288896,6.778517105025521e-12,0.012191437016806373,4.682084999713891,3.497542444123684,5.761351972012684e-10,0.21900439324976262,3.7264165035116306,2.109890109890112e-07,2.400281644310243e-05,0.17549598316868079,0.678971750108234,SC4001,N3,3,3,0
3.8873983304455654e-10,2.945161292930813e-10,0.7556736682324465,3.840748422328655e-11,0.09854646861024252,9.583415531383412e-12,0.024589263705790624,4.566614854307397e-12,0.01171708526335137,4.588160760201091e-12,0.011772368054759636,3.6290254416823524,3.564884159068794,3.975035709216487e-10,0.22364597916218074,3.9254655002426584,3.4164590964590955e-07,1.993749159050979e-05,0.09823911979717183,0.22895882304997306,SC4001,N2,2,4,0
5.817925557414028e-10,4.20853214506292e-10,0.7221321040569937,5.206750222638898e-11,0.08934139894795158,1.6186423884679188e-11,0.02777390295263387,7.4417697173721e-12,0.01276915712813972,5.904029590827017e-12,0.010130585115858544,3.029571630244991,3.5364257016266105,5.848002341159025e-10,0.2127993169861861,3.712291092098771,-7.398681318681307e-08,2.418264324088462e-05,0.03399903439653886,-0.06477632350509088,SC4001,N3,3,5,0
8.622272929731608e-10,6.975618678209806e-10,0.8080859739946488,4.855388992934095e-11,0.05624693556908954,9.787231538529237e-12,0.011337954230825668,5.225497690017741e-12,0.006053443551373219,4.6782860382213144e-12,0.005419529799745072,4.501051985017551,3.131314645513108,8.957529183063806e-10,0.16841287502546862,4.659533514976595,1.9601660561660555e-07,2.992913159960343e-05,0.14285771200807776,-0.3514439022209763,SC4001,N3,3,6,0
6.197036189827183e-10,4.904926051932746e-10,0.7902203083609393,3.488021233107666e-11,0.05619463341979934,9.927355976320272e-12,0.01599371370283032,4.59260737662636e-12,0.007399034315529305,4.695243125237067e-12,0.007564388190505768,3.1920084242393636,3.228116925747563,6.544255204064838e-10,0.18093187317101728,4.66390357164178,3.153582417582416e-07,2.5581741934561136e-05,-0.18543516561516335,0.8777717747160145,SC4001,N3,3,7,0
9.731175053373236e-10,7.82378998492886e-10,0.8031669631293185,6.238636973720031e-11,0.06404398791252269,1.4318920015606732e-11,0.014699376550725556,6.476180588729186e-12,0.006648253987065526,4.723049996598836e-12,0.004848542368575244,4.072504437234598,3.18760124081191,1.0138901689223793e-09,0.1730559537846496,4.296848986784936,6.746959706959704e-07,3.184164205756951e-05,-0.034418391065628044,-0.04104532126291849,SC4001,N3,3,8,0
9.117595043909827e-10,7.096376010039912e-10,0.777463940490524,4.6461093538466756e-11,0.05090179101390659,1.1946726284140723e-11,0.013088580537007823,2.5119010667827842e-12,0.0027519856596385605,2.9743190280189996e-12,0.00325860099370156,3.5886364258260355,3.1025648012894806,9.465450772706138e-10,0.15751458374892519,4.780548119399778,4.5726788766788715e-07,3.0765972717770746e-05,0.13135690945794762,-0.06759587460834293,SC4001,N3,3,9,0
8.900590409488198e-10,7.210739141476215e-10,0.8092324762002367,4.188571082396994e-11,0.04700666162297067,9.850335220485903e-12,0.011054638096704619,4.387340500915986e-12,0.004923737147927086,4.515807098609967e-12,0.005067910083490577,3.8603149094313602,3.0102070327425507,9.054960465353271e-10,0.15674333127251172,4.906314151477194,-2.60938705738706e-07,3.0091461355928315e-05,0.0087075367736597,0.42907620851087414,SC4001,N3,3,10,0
6.644379017469281e-10,5.354862324771307e-10,0.804712552548263,4.008981275662743e-11,0.060245760951371144,9.557525080370031e-12,0.01436276030457436,2.8856666593359044e-12,0.004336492784315957,3.0208963442741537e-12,0.00453971187445681,3.7972737409042763,3.19865375074962,7.508162030804256e-10,0.16912581813444755,4.588686881680355,6.598485958485944e-08,2.740102558446354e-05,0.40008208347760904,-0.011097617230131362,SC4001,N3,3,11,0
1.2285939094253438e-09,1.0109327464427273e-09,0.8221679846439636,4.831883019097418e-11,0.03929657573983608,9.191796586311844e-12,0.007475473419193878,2.601645577479676e-12,0.002115857566906432,3.2080308273772065e-12,0.002609016523899743,4.740953155979299,2.986210737574185,1.2220030423203256e-09,0.14680047292887075,4.664452685357437,2.39433455433455e-07,3.49571601009053e-05,0.33490833313304247,0.0006628537351409669,SC4001,N3,3,12,0
